objectid,name_std,acreage,year,raw_excerpt
131,George Webb,7100.0,1737.0,7100a Hanover County on both sides of the N fork of the N Fork of James River joining to the Lines of Colo Roger Thompson and the dividing Line between Hanover and  Spotsylvania Counties
132,Matthew Mills,650.0,1737.0,650a Goochland Co. on the Br. of Mecham's River on the N Side of the Ragged Mountains
133,William Carr,1774.0,1737.0,1774a HNCO on both sides of N Branch of N Fork of James River
134,William Carr,1774.0,1737.0,1774a Hanover County both sides of N Br. of N Fork of James Riv.
135,William Taylor,1200.0,1737.0,1200a Goochland Co. on both Sides of Moors Cr.
136,William Mabe,204.0,1738.0,204a Hanover county on both Sides Wolf Trap branch
137,John Dowell,400.0,1738.0,400a Hanover County on branches of Pritty's Creek
138,Benjamin Henslee,385.0,1738.0,385a Hanover County on both Sides Wolf Trap Branch
139,Timothy Dalton Junr,400.0,1738.0,400a Hanover County on W side of Little Mountains
140,Timothy Dalton Junr,400.0,1738.0,400a HNCO on branches of Pritty's Creek
141,David Mills,327.0,1738.0,327a Hanover Co. S side the N br. of N fork of James Riv.
142,William Bunch,400.0,1738.0,400a Hanover County joining Mr George Webb's Line
143,,215.0,1738.0,"215a Hanover Co., on NW Side the Sugar loaf Mountain"
144,Charles Moreman Junr,200.0,1738.0,200a Goochland Co. on the South brs. of the Rivanna Riv.
145,Richard Durrett,300.0,1738.0,300a in sd Counties of Orange and Hanover
146,Richard Durrett,300.0,1738.0,300a in sd Counties of Orange and Hanover
147,John Poindexter,400.0,1738.0,400a Hanover County on SW side Poindexter's
148,John Poindexter,400.0,1738.0,400a Hanover County on SW side of Poindexter's alias Piney Mountain upon both sides Poindexter's Creek on N side the N branch of the N fork of James River
149,Thomas Ballard Of Caroline County,320.0,1738.0,320a Hanover County on the South Side the Piney Mountain
150,William Coursey,400.0,1738.0,400a HNCO on S side Piney Mountain
151,Richard Durrett,300.0,1738.0,300a in sd Counties of Orange and Hanover
152,Robert Lewis,5200.0,1738.0,5200a Goochland Co. on the North Garden on the head of the North branch of Hard War River
153,James Warren,100.0,1738.0,100a Goochland County on the N side of the Rivanna
154,William Perry,350.0,1738.0,350a Goochland Co. S Side of the Rivanna Riv.
155,David Mills,2850.0,1739.0,2850a Hanover County on North fork of Moremans River
156,Christopher Clark,400.0,1739.0,400a Hanover County above the first Ridge of Mountains
