grant_id,component_id,shift_km
4997,4996,0.6926535738972527
4998,4997,0.6927983650313501
4999,4998,0.6929511185947261
5000,4999,0.6917741803494006
5001,5000,0.692640118485326
5002,5001,0.6926431088919923
5003,5002,0.6926425064137037
5004,5003,0.6926807513940194
5008,5007,0.6927643840951487
5009,5008,0.692928316672472
5010,5009,0.6929262946194036
5011,5010,0.6929493042606867
5012,5011,0.6926749531077268
5013,5012,0.6925560878256531
5015,5014,0.6926448195795372
5016,5015,0.6926010949654183
5017,5016,0.6925459921958732
5018,5017,0.6925877036890066
5019,5018,0.6926742173210946
5020,5019,0.6927952896241489
5022,5021,0.6927082900258132
5023,5022,0.6925640399190832
5025,5024,0.6926474299782335
5026,5025,0.6925668336044662
5027,5026,0.6926924984168246
5028,5027,0.6926468920008413
5029,5028,0.6929088881098644
5030,5029,0.6926420873749284
5031,5030,0.6924636861391259
5033,5032,0.6926481357283799
5034,5033,0.6926701929888157
5037,5036,0.6926412216339956
5038,5037,0.6926385750196721
5039,5038,0.6926463116029118
5040,5039,0.6926470927856279
5041,5040,0.6925677780309071
5042,5041,0.692652424847787
5043,5042,0.6926434372632276
5044,5043,0.6925400945057373
5045,5044,0.6925547518828543
5047,5046,0.6927748243172094
5048,5047,0.692793508508773
5049,5048,0.6927619307778732
5050,5049,0.6927082900258134
5051,5050,0.6927983181524867
5053,5052,0.6925445608878555
5054,5053,0.6926002571443763
5056,5055,0.692670192988815
5057,5056,0.6921558040941183
5058,5057,0.6926225116242741
5059,5058,0.6925812929507835
5060,5059,0.6926468744002353
5061,5060,0.6926759850355676
5062,5061,0.6926496001182596
5067,5066,0.692782846092974
5068,5067,0.6925596838202207
5069,5068,0.6925510869882971
5071,5070,0.692553910056332
5073,5072,0.6925964927557708
5075,5074,0.6926435816869723
5076,5075,0.6926438381691117
5077,5076,0.6926437616787192
5079,5078,0.6926181075889588
5082,5081,0.6925867127464082
5083,5082,0.6926506304139589
5084,5083,0.6926721236644655
5085,5084,0.6926547346004172
5087,5086,0.6926382500123938
5088,5087,0.6926482151753779
5089,5088,0.6926526532048625
5092,5091,0.692542513960655
5093,5092,0.6926505603859947
5094,5093,0.692689615174754
5097,5096,0.6926925882164379
5098,5097,0.6926927207101212
5099,5098,0.6926906479662595
5102,5101,0.6926896151747541
5103,5102,0.6927844911036013
5105,5104,0.6927180087078972
5107,5106,0.6925414696795958
5109,5108,0.6926708931323551
5110,5109,0.692463686139126
5111,5110,0.6926370128369732
5112,5111,0.6926010949654187
5113,5112,0.692646558636314
5114,5113,0.6925093790656315
5115,5114,0.6924808217965873
5116,5115,0.6925149081406716
5117,5116,0.692609933923574
5118,5117,0.6926198936598953
5119,5118,0.6926100257891479
5120,5119,0.692655895343469
5121,5120,0.6926640097644574
5122,5121,0.692574314214307
5123,5122,0.6928694241574022
5124,5123,0.6921558040941183
5125,5124,0.692553243607294
5126,5125,0.6926759850355675
5127,5126,0.6924792918358106
5128,5127,0.6925093790656318
5129,5128,0.6926882688177952
5132,5131,0.6925513310866845
5133,5132,0.6929513955085604
5374,5373,0.8739656679781065
5375,5374,0.8676899266771851
5376,5375,0.8716810759082566
5377,5376,0.8717934940776619
5378,5377,0.8686688029191812
5380,5379,0.8576605641932971
5387,5386,0.8643938262894066
5388,5387,0.8606355203758422
5389,5388,0.855129104160111
5390,5389,0.8489492304320329
5391,5390,0.8561607733303829
5392,5391,0.8554141837288347
5393,5392,0.855449461893503
5394,5393,0.8628100188767489
5395,5394,0.8547945504038542
5396,5395,0.8420463780186956
5397,5396,0.8451302925277141
5398,5397,0.8557266726563114
5399,5398,0.8679616834873098
5400,5399,0.8443208594341003
5401,5400,0.8530404840170316
5402,5401,0.8558214851949738
5403,5402,0.8405522771225381
5404,5403,0.8554257966464345
6020,6019,0.6871920477109219
6023,6022,0.8694808475189538
6025,6024,0.7660299952199644
6034,6033,0.6921678234860718
6035,6034,0.693774823028818
6038,6037,0.8346470765333435
6040,6039,0.7473135207512959
6042,6041,0.8396934510532852
6043,6042,0.7369895272628477
6045,6044,0.7181250644698667
6046,6045,0.7248958314613814
6047,6046,0.7348791909993891
6048,6047,0.7000548716229015
6050,6049,0.7830151390242139
6051,6050,0.7141998111739832
6052,6051,0.7698883041626631
6054,6053,0.8405400672032671
6055,6054,0.8480720765629997
6056,6055,0.7464158983364487
6057,6056,0.7564227423865396
6058,6057,0.6880441537667189
6059,6058,0.7375981715766255
6061,6060,0.7495814572165305
6062,6061,0.7006745509944989
6064,6063,0.8528347283447189
6067,6066,0.8378315683334019
6068,6067,0.7375981715766259
6069,6068,0.7375981715766257
6070,6069,0.7217947992298234
6071,6070,0.8329266141353869
6072,6071,0.7660137790768901
6073,6072,0.8480720765629997
6074,6073,0.8485060534546645
6075,6074,0.7830151390242143
6077,6076,0.846770296160522
6079,6078,0.8692124223157344
6082,6081,0.6890594980115567
6083,6082,0.7675473494718044
6084,6083,0.7325955196673009
6085,6084,0.8417875108537621
6086,6085,0.7251982832321318
6087,6086,0.7208982454750853
6089,6088,0.7198217172151243
6090,6089,0.8241780269707739
6092,6091,0.6896248512223507
6093,6092,0.6890795145305888
6094,6093,0.7007119790099582
6095,6094,0.7375981715766251
6097,6096,0.7269029688911224
6099,6098,0.689624851222349
6100,6099,0.6923599526916017
6102,6101,0.839057606790494
6103,6102,0.8379826109694409
6104,6103,0.8391681814489306
6106,6105,0.7644804430585875
6108,6107,0.8329455450997244
6109,6108,0.7887620173645942
6110,6109,0.786627476611575
6111,6110,0.7252349046520661
6112,6111,0.707140724483299
6113,6112,0.6916987152937055
6114,6113,0.8044163431205277
6115,6114,0.7786310511085746
